SourceField,TargetField,DataType
Id,ContactId,STRING
IsDeleted,IsDeleted,BOOL
MasterRecordId,MasterRecordId,STRING
AccountId,AccountId,STRING
LastName,LastName,STRING
FirstName,FirstName,STRING
Salutation,Salutation,STRING
MiddleName,MiddleName,STRING
Suffix,Suffix,STRING
Name,Name,STRING
OtherStreet,OtherStreet,STRING
OtherCity,OtherCity,STRING
OtherState,OtherState,STRING
OtherPostalCode,OtherPostalCode,STRING
OtherCountry,OtherCountry,STRING
OtherLatitude,OtherLatitude,FLOAT64
OtherLongitude,OtherLongitude,FLOAT64
OtherGeocodeAccuracy,OtherGeocodeAccuracy,STRING
MailingStreet,MailingStreet,STRING
MailingCity,MailingCity,STRING
MailingState,MailingState,STRING
MailingPostalCode,MailingPostalCode,STRING
MailingCountry,MailingCountry,STRING
MailingLatitude,MailingLatitude,FLOAT64
MailingLongitude,MailingLongitude,FLOAT64
MailingGeocodeAccuracy,MailingGeocodeAccuracy,STRING
Phone,Phone,STRING
Fax,Fax,STRING
MobilePhone,MobilePhone,STRING
HomePhone,HomePhone,STRING
AssistantPhone,AssistantPhone,STRING
ReportsToId,ReportsToId,STRING
Email,Email,STRING
Title,Title,STRING
Department,Department,STRING
AssistantName,AssistantName,STRING
LeadSource,LeadSource,STRING
Birthdate,Birthdate,DATE
Description,Description,STRING
OwnerId,OwnerId,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
LastActivityDate,LastActivityDate,DATE
LastCURequestDate,LastCURequestDatestamp,TIMESTAMP
LastCUUpdateDate,LastCUUpdateDatestamp,TIMESTAMP
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
EmailBouncedReason,EmailBouncedReason,STRING
EmailBouncedDate,EmailBouncedDatestamp,TIMESTAMP
IsEmailBounced,IsEmailBounced,BOOL
PhotoUrl,PhotoUrl,STRING
Jigsaw,Jigsaw,STRING
JigsawContactId,JigsawContactId,STRING
IndividualId,IndividualId,STRING
LinkedIn__c,LinkedIn__c,STRING
eContacts__Business_Card__c,eContacts__Business_Card__c,STRING
eContacts__Contact_Send_to_Pardot__c,eContacts__Contact_Send_to_Pardot__c,BOOL
eContacts__Created_By_eContacts__c,eContacts__Created_By_eContacts__c,BOOL
eContacts__Location_Text__c,eContacts__Location_Text__c,STRING
eContacts__Location__Latitude__s,eContacts__Location__Latitude__s,FLOAT64
eContacts__Location__Longitude__s,eContacts__Location__Longitude__s,FLOAT64
eContacts__Secondary_Image__c,eContacts__Secondary_Image__c,STRING
eContacts__Signature_Image__c,eContacts__Signature_Image__c,STRING
pi__Needs_Score_Synced__c,pi__Needs_Score_Synced__c,BOOL
pi__Pardot_Last_Scored_At__c,pi__Pardot_Last_Scored_At__c,TIMESTAMP
pi__campaign__c,pi__campaign__c,STRING
pi__comments__c,pi__comments__c,STRING
pi__conversion_date__c,pi__conversion_date__cstamp,TIMESTAMP
pi__conversion_object_name__c,pi__conversion_object_name__c,STRING
pi__conversion_object_type__c,pi__conversion_object_type__c,STRING
pi__created_date__c,pi__created_date__cstamp,TIMESTAMP
pi__first_activity__c,pi__first_activity__c,TIMESTAMP
pi__first_search_term__c,pi__first_search_term__c,STRING
pi__first_search_type__c,pi__first_search_type__c,STRING
pi__first_touch_url__c,pi__first_touch_url__c,STRING
pi__grade__c,pi__grade__c,STRING
pi__last_activity__c,pi__last_activity__c,TIMESTAMP
pi__notes__c,pi__notes__c,STRING
pi__pardot_hard_bounced__c,pi__pardot_hard_bounced__c,BOOL
pi__score__c,pi__score__c,FLOAT64
pi__url__c,pi__url__c,STRING
pi__utm_campaign__c,pi__utm_campaign__c,STRING
pi__utm_content__c,pi__utm_content__c,STRING
pi__utm_medium__c,pi__utm_medium__c,STRING
pi__utm_source__c,pi__utm_source__c,STRING
pi__utm_term__c,pi__utm_term__c,STRING
Data_Quality_Description__c,Data_Quality_Description__c,STRING
Data_Quality_Score__c,Data_Quality_Score__c,FLOAT64
dupcheck__dc3DisableDuplicateCheck__c,dupcheck__dc3DisableDuplicateCheck__c,BOOL
dupcheck__dc3Index__c,dupcheck__dc3Index__c,STRING
