SourceField,TargetField,DataType
Id,EventId,STRING
WhoId,WhoId,STRING
WhatId,WhatId,STRING
WhoCount,WhoCount,INT64
WhatCount,WhatCount,INT64
Subject,Subject,STRING
Location,Location,STRING
IsAllDayEvent,IsAllDayEvent,BOOL
ActivityDateTime,ActivityDateTimestamp,TIMESTAMP
ActivityDate,ActivityDate,DATE
DurationInMinutes,DurationInMinutes,INT64
StartDateTime,StartDateTimestamp,TIMESTAMP
EndDateTime,EndDateTimestamp,TIMESTAMP
EndDate,EndDate,DATE
Description,Description,STRING
AccountId,AccountId,STRING
OwnerId,OwnerId,STRING
IsPrivate,IsPrivate,BOOL
ShowAs,ShowAs,STRING
IsDeleted,IsDeleted,BOOL
IsChild,IsChild,BOOL
IsGroupEvent,IsGroupEvent,BOOL
GroupEventType,GroupEventType,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
IsArchived,IsArchived,BOOL
RecurrenceActivityId,RecurrenceActivityId,STRING
IsRecurrence,IsRecurrence,BOOL
RecurrenceStartDateTime,RecurrenceStartDateTimestamp,TIMESTAMP
RecurrenceEndDateOnly,RecurrenceEndDateOnly,DATE
RecurrenceTimeZoneSidKey,RecurrenceTimeZoneSidKey,STRING
RecurrenceType,RecurrenceType,STRING
RecurrenceInterval,RecurrenceInterval,INT64
RecurrenceDayOfWeekMask,RecurrenceDayOfWeekMask,INT64
RecurrenceDayOfMonth,RecurrenceDayOfMonth,INT64
RecurrenceInstance,RecurrenceInstance,STRING
RecurrenceMonthOfYear,RecurrenceMonthOfYear,STRING
ReminderDateTime,ReminderDateTimestamp,TIMESTAMP
IsReminderSet,IsReminderSet,BOOL
EventSubtype,EventSubtype,STRING
IsRecurrence2Exclusion,IsRecurrence2Exclusion,BOOL
Recurrence2PatternText,Recurrence2PatternText,STRING
Recurrence2PatternVersion,Recurrence2PatternVersion,STRING
IsRecurrence2,IsRecurrence2,BOOL
IsRecurrence2Exception,IsRecurrence2Exception,BOOL
Recurrence2PatternStartDate,Recurrence2PatternStartDatestamp,TIMESTAMP
Recurrence2PatternTimeZone,Recurrence2PatternTimeZone,STRING
DB_Activity_Type__c,DB_Activity_Type__c,STRING
eContacts__Bundle__c,eContacts__Bundle__c,STRING
Data_Quality_Description__c,Data_Quality_Description__c,STRING
Data_Quality_Score__c,Data_Quality_Score__c,FLOAT64
maps__BaseObjectId__c,maps__BaseObjectId__c,STRING
maps__LayerId__c,maps__LayerId__c,STRING
maps__WA_AdvRouteWaypoint__c,maps__WA_AdvRouteWaypoint__c,STRING
TSK_ProductFamilyQueue__c,TSK_ProductFamilyQueue__c,STRING
ACT_Comments__c,ACT_Comments__c,STRING
