SourceField,TargetField,DataType
Id,LeadId,STRING
IsDeleted,IsDeleted,BOOL
MasterRecordId,MasterRecordId,STRING
LastName,LastName,STRING
FirstName,FirstName,STRING
Salutation,Salutation,STRING
MiddleName,MiddleName,STRING
Suffix,Suffix,STRING
Name,Name,STRING
Title,Title,STRING
Company,Company,STRING
Street,Street,STRING
City,City,STRING
State,State,STRING
PostalCode,PostalCode,STRING
Country,Country,STRING
Latitude,Latitude,FLOAT64
Longitude,Longitude,FLOAT64
GeocodeAccuracy,GeocodeAccuracy,STRING
Phone,Phone,STRING
MobilePhone,MobilePhone,STRING
Email,Email,STRING
Website,Website,STRING
PhotoUrl,PhotoUrl,STRING
Description,Description,STRING
LeadSource,LeadSource,STRING
Status,Status,STRING
Industry,Industry,STRING
Rating,Rating,STRING
AnnualRevenue,AnnualRevenue,FLOAT64
NumberOfEmployees,NumberOfEmployees,INT64
OwnerId,OwnerId,STRING
IsConverted,IsConverted,BOOL
ConvertedDate,ConvertedDate,DATE
ConvertedAccountId,ConvertedAccountId,STRING
ConvertedContactId,ConvertedContactId,STRING
ConvertedOpportunityId,ConvertedOpportunityId,STRING
IsUnreadByOwner,IsUnreadByOwner,BOOL
CreatedDate,CreatedDate,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDate,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
LastActivityDate,LastActivityDate,DATE
LastViewedDate,LastViewedDate,TIMESTAMP
LastReferencedDate,LastReferencedDate,TIMESTAMP
Jigsaw,Jigsaw,STRING
JigsawContactId,JigsawContactId,STRING
EmailBouncedReason,EmailBouncedReason,STRING
EmailBouncedDate,EmailBouncedDate,TIMESTAMP
IndividualId,IndividualId,STRING
ScoreIntelligenceId,ScoreIntelligenceId,STRING
LinkedIn__c,LinkedIn__c,STRING
DB_Created_Date_without_Time__c,DB_Created_Date_without_Time__c,DATE
DB_Lead_Age__c,DB_Lead_Age__c,FLOAT64
Vat_Number__c,Vat_Number__c,STRING
eContacts__Business_Card__c,eContacts__Business_Card__c,STRING
eContacts__Created_By_eContacts__c,eContacts__Created_By_eContacts__c,BOOL
eContacts__Leads_Send_to_Pardot__c,eContacts__Leads_Send_to_Pardot__c,BOOL
eContacts__Location_Text__c,eContacts__Location_Text__c,STRING
eContacts__Location__Latitude__s,eContacts__Location__Latitude__s,FLOAT64
eContacts__Location__Longitude__s,eContacts__Location__Longitude__s,FLOAT64
eContacts__Secondary_Image__c,eContacts__Secondary_Image__c,STRING
eContacts__Signature_Image__c,eContacts__Signature_Image__c,STRING
pi__Needs_Score_Synced__c,pi__Needs_Score_Synced__c,BOOL
pi__Pardot_Last_Scored_At__c,pi__Pardot_Last_Scored_At__c,TIMESTAMP
pi__campaign__c,pi__campaign__c,STRING
pi__comments__c,pi__comments__c,STRING
pi__conversion_date__c,pi__conversion_date__c,TIMESTAMP
pi__conversion_object_name__c,pi__conversion_object_name__c,STRING
pi__conversion_object_type__c,pi__conversion_object_type__c,STRING
pi__created_date__c,pi__created_date__c,TIMESTAMP
pi__first_activity__c,pi__first_activity__c,TIMESTAMP
pi__first_search_term__c,pi__first_search_term__c,STRING
pi__first_search_type__c,pi__first_search_type__c,STRING
pi__first_touch_url__c,pi__first_touch_url__c,STRING
pi__grade__c,pi__grade__c,STRING
pi__last_activity__c,pi__last_activity__c,TIMESTAMP
pi__notes__c,pi__notes__c,STRING
pi__pardot_hard_bounced__c,pi__pardot_hard_bounced__c,BOOL
pi__score__c,pi__score__c,FLOAT64
pi__url__c,pi__url__c,STRING
pi__utm_campaign__c,pi__utm_campaign__c,STRING
pi__utm_content__c,pi__utm_content__c,STRING
pi__utm_medium__c,pi__utm_medium__c,STRING
pi__utm_source__c,pi__utm_source__c,STRING
pi__utm_term__c,pi__utm_term__c,STRING
Notes__c,Notes__c,STRING
Data_Quality_Description__c,Data_Quality_Description__c,STRING
Data_Quality_Score__c,Data_Quality_Score__c,FLOAT64
Partner__c,Partner__c,STRING
Loss_Reason_Lead__c,Loss_Reason_Lead__c,STRING
Region__c,Region__c,STRING
maps__AssignmentRule__c,maps__AssignmentRule__c,STRING
Giorni_di_Conversione__c,Giorni_di_Conversione__c,FLOAT64
differenza_date__c,differenza_date__c,FLOAT64
dupcheck__dc3DisableDuplicateCheck__c,dupcheck__dc3DisableDuplicateCheck__c,BOOL
dupcheck__dc3Index__c,dupcheck__dc3Index__c,STRING
dupcheck__dc3Web2Lead__c,dupcheck__dc3Web2Lead__c,BOOL
LEAD_LinkDrive__c,LEAD_LinkDrive__c,STRING
ACC_Revenue__c,ACC_Revenue__c,STRING
ACC_NOfEmployees__c,ACC_NOfEmployees__c,STRING
