SourceField,TargetField,DataType
Id,TaskId,STRING
WhoId,WhoId,STRING
WhatId,WhatId,STRING
Subject,Subject,STRING
ActivityDate,ActivityDate,DATE
Status,Status,STRING
Priority,Priority,STRING
IsHighPriority,IsHighPriority,BOOLEAN
OwnerId,OwnerId,STRING
Description,Description,STRING
AccountId,AccountId,STRING
IsClosed,IsClosed,BOOLEAN
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
CallDurationInSeconds,CallDurationInSeconds,INTEGER
CallType,CallType,STRING
CallDisposition,CallDisposition,STRING
CallObject,CallObject,STRING
ReminderDateTime,ReminderDateTimestamp,TIMESTAMP
IsReminderSet,IsReminderSet,BOOLEAN
RecurrenceActivityId,RecurrenceActivityId,STRING
IsRecurrence,IsRecurrence,BOOLEAN
RecurrenceStartDateOnly,RecurrenceStartDateOnly,DATE
RecurrenceEndDateOnly,RecurrenceEndDateOnly,DATE
RecurrenceTimeZoneSidKey,RecurrenceTimeZoneSidKey,STRING
RecurrenceType,RecurrenceType,STRING
RecurrenceInterval,RecurrenceInterval,INTEGER
RecurrenceDayOfWeekMask,RecurrenceDayOfWeekMask,INTEGER
RecurrenceDayOfMonth,RecurrenceDayOfMonth,INTEGER
RecurrenceInstance,RecurrenceInstance,STRING
RecurrenceMonthOfYear,RecurrenceMonthOfYear,STRING
RecurrenceRegeneratedType,RecurrenceRegeneratedType,STRING
TaskSubtype,TaskSubtype,STRING
CompletedDateTime,CompletedDateTimestamp,TIMESTAMP
