SourceField,TargetField,DataType
Id,UserId,STRING
Username,Username,STRING
LastName,LastName,STRING
FirstName,FirstName,STRING
MiddleName,MiddleName,STRING
Suffix,Suffix,STRING
Name,Name,STRING
CompanyName,CompanyName,STRING
Division,Division,STRING
Department,Department,STRING
Title,Title,STRING
Street,Street,STRING
City,City,STRING
State,State,STRING
PostalCode,PostalCode,STRING
Country,Country,STRING
Latitude,Latitude,FLOAT64
Longitude,Longitude,FLOAT64
GeocodeAccuracy,GeocodeAccuracy,STRING
Email,Email,STRING
EmailPreferencesAutoBcc,EmailPreferencesAutoBcc,BOOL
EmailPreferencesAutoBccStayInTouch,EmailPreferencesAutoBccStayInTouch,BOOL
EmailPreferencesStayInTouchReminder,EmailPreferencesStayInTouchReminder,BOOL
SenderEmail,SenderEmail,STRING
SenderName,SenderName,STRING
Signature,Signature,STRING
StayInTouchSubject,StayInTouchSubject,STRING
StayInTouchSignature,StayInTouchSignature,STRING
StayInTouchNote,StayInTouchNote,STRING
Phone,Phone,STRING
Fax,Fax,STRING
MobilePhone,MobilePhone,STRING
Alias,Alias,STRING
CommunityNickname,CommunityNickname,STRING
BadgeText,BadgeText,STRING
IsActive,IsActive,BOOL
TimeZoneSidKey,TimeZoneSidKey,STRING
UserRoleId,UserRoleId,STRING
LocaleSidKey,LocaleSidKey,STRING
ReceivesInfoEmails,ReceivesInfoEmails,BOOL
ReceivesAdminInfoEmails,ReceivesAdminInfoEmails,BOOL
EmailEncodingKey,EmailEncodingKey,STRING
ProfileId,ProfileId,STRING
UserType,UserType,STRING
LanguageLocaleKey,LanguageLocaleKey,STRING
EmployeeNumber,EmployeeNumber,STRING
DelegatedApproverId,DelegatedApproverId,STRING
ManagerId,ManagerId,STRING
LastLoginDate,LastLoginDatestamp,TIMESTAMP
LastPasswordChangeDate,LastPasswordChangeDatestamp,TIMESTAMP
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
NumberOfFailedLogins,NumberOfFailedLogins,INT64
OfflineTrialExpirationDate,OfflineTrialExpirationDatestamp,TIMESTAMP
OfflinePdaTrialExpirationDate,OfflinePdaTrialExpirationDatestamp,TIMESTAMP
UserPermissionsMarketingUser,UserPermissionsMarketingUser,BOOL
UserPermissionsOfflineUser,UserPermissionsOfflineUser,BOOL
UserPermissionsAvantgoUser,UserPermissionsAvantgoUser,BOOL
UserPermissionsCallCenterAutoLogin,UserPermissionsCallCenterAutoLogin,BOOL
UserPermissionsSFContentUser,UserPermissionsSFContentUser,BOOL
UserPermissionsInteractionUser,UserPermissionsInteractionUser,BOOL
UserPermissionsSupportUser,UserPermissionsSupportUser,BOOL
ForecastEnabled,ForecastEnabled,BOOL
UserPreferencesActivityRemindersPopup,UserPreferencesActivityRemindersPopup,BOOL
UserPreferencesEventRemindersCheckboxDefault,UserPreferencesEventRemindersCheckboxDefault,BOOL
UserPreferencesTaskRemindersCheckboxDefault,UserPreferencesTaskRemindersCheckboxDefault,BOOL
UserPreferencesReminderSoundOff,UserPreferencesReminderSoundOff,BOOL
UserPreferencesDisableAllFeedsEmail,UserPreferencesDisableAllFeedsEmail,BOOL
UserPreferencesDisableFollowersEmail,UserPreferencesDisableFollowersEmail,BOOL
UserPreferencesDisableProfilePostEmail,UserPreferencesDisableProfilePostEmail,BOOL
UserPreferencesDisableChangeCommentEmail,UserPreferencesDisableChangeCommentEmail,BOOL
UserPreferencesDisableLaterCommentEmail,UserPreferencesDisableLaterCommentEmail,BOOL
UserPreferencesDisProfPostCommentEmail,UserPreferencesDisProfPostCommentEmail,BOOL
UserPreferencesApexPagesDeveloperMode,UserPreferencesApexPagesDeveloperMode,BOOL
UserPreferencesReceiveNoNotificationsAsApprover,UserPreferencesReceiveNoNotificationsAsApprover,BOOL
UserPreferencesReceiveNotificationsAsDelegatedApprover,UserPreferencesReceiveNotificationsAsDelegatedApprover,BOOL
UserPreferencesHideCSNGetChatterMobileTask,UserPreferencesHideCSNGetChatterMobileTask,BOOL
UserPreferencesDisableMentionsPostEmail,UserPreferencesDisableMentionsPostEmail,BOOL
UserPreferencesDisMentionsCommentEmail,UserPreferencesDisMentionsCommentEmail,BOOL
